# Stato di supabase_migrations.schema_migrations PRIMA del repair del
# 28/8/2026 (BRIEF "La baseline dello schema fondativo", §Passo 3).
#
# Letto per intero via `select version, name from supabase_migrations.
# schema_migrations order by version` immediatamente prima di registrare la
# baseline come applicata. Se il repair andasse storto, questo file è
# l'unico modo di sapere com'era il registro prima.
#
# Formato: version|name — una riga per voce, ordine originale (per version).
# Totale righe: 304.

20260710210655|mappa_valli_fase1
20260711021439|sportello_richieste_contatto
20260711031504|domande_sorgente_utm
20260711105329|custodi_memoria
20260711200820|domande_motivo_rifiuto
20260711212444|solleciti_integrazione
20260712065615|iscrizioni_gita
20260712072614|download_lead
20260712090000|guardiani_de_la_lenga
20260712092206|telegram_rate_limit
20260712142752|articolo_stati_editor
20260712150029|telegram_config
20260712185108|editor_vista_pubblica_e_update_hardening
20260712200655|editor_rls_select_insert
20260714004145|registro_consensi_b7
20260714074306|telegram_link
20260714101126|otp_functions_in_vcs
20260716093126|telegram_notifica
20260716112508|custodi_tassonomia
20260716114757|custodi_curatela_rls
20260716154313|grande_guerra_sezione
20260716164839|forum_rls_complete_fase1
20260716164917|corso_vetrina_ponte_noslab_learn
20260716170950|museo_gg_pezzo
20260717040620|museo_gg_proposta
20260717041836|domande_tesseramento_self_read
20260717043252|storia
20260717080024|museo_gg_fase_a_soci
20260717084102|dashboard_admin_read_aal2
20260717093150|avatar_socio_storage
20260717094315|v_storia_pubblica
20260717101115|donazione_materiale
20260717121417|community_feed
20260717124815|community_feed_fase3
20260717125645|community_menzioni_rpc
20260717141224|convenzioni_beneficio_sintetico
20260717145708|riconoscimenti
20260718042409|motore_notifiche
20260718043139|vista_classifica
20260718045015|grant_select_v_classifica_authenticated
20260718064207|webhook_notifica_invia_push
20260718064417|hardening_rpc_anonime
20260718084346|blindatura_gamification
20260718091729|pagamento_contanti
20260718111906|performance_indici_e_rls
20260718111948|campi_seo
20260718113754|pulizia_rls_doppio_annidamento
20260718133603|spunto_settimana
20260718140759|registro_consensi
20260718164153|v_luoghi_pagina
20260718164417|v_luoghi_mappa_con_slug
20260718170534|rpc_riconciliazione_contanti
20260718210400|backup_corpo_html_pre_migrazione_img
20260718213257|backup_corpo_html_pre_migrazione
20260718213712|rimuovi_backup_corpo_html
20260718214358|v_articoli_seo
20260718215457|backup_titoli_pre_riscrittura
20260718221846|v_articoli_seo_con_copertina
20260719064253|video_playlist_serie_youtube
20260719141002|quindici_luoghi_val_di_non
20260720044103|backup_meta_description_pre_riscrittura
20260720044259|drop_video_playlist_non_usata
20260720222946|pagamenti_stato_scaduto_e_igiene
20260721042453|solleciti_domande_direttivo
20260721043615|email_outbox_invio_da_chat_e_pannello
20260721045454|rls_curatore_museo_gg
20260721045519|bucket_donazioni_curatore
20260721082633|convenzioni_punti_vendita
20260721083404|convenzioni_punti_extra_grezzi
20260721093949|fix_rls_convenzioni_punti_anon
20260721124958|get_mia_tessera_rpc
20260721125631|get_mia_tessera_robustezza
20260721150554|domande_tesseramento_metodo_scelto
20260727145404|tipo_sorgente_manuale_linguistico
20260729163001|donazione_materiale_donatori_esterni
20260729170858|donazione_materiale_donatore_id_nullable
20260731124323|radar_eventi
20260801072938|museo_gg_racconto
20260801074206|museo_gg_guardia_riconosce_curatore
20260801211036|eventi_esterni_slug
20260802011241|allineamento_audit_completo
20260802011303|v_articoli_pubblici_solo_post
20260802053220|v_articoli_pubblici_campi_seo
20260802053654|andreas_limite_soci_100_e_policy
20260802055440|articolo_flag_archivio
20260802065237|articolo_estratto_ripiego
20260802100038|ai_consuma_quota_atomica
20260802101120|ai_somma_token
20260802131155|ai_config_admin_capo
20260802194755|kb_pulizia_pre_maffei
20260802210058|pagamenti_sorgente_utm
20260803200803|v_soci_in_regola
20260804012010|solleciti_quota_e_viste_incassi
20260804013650|quota_anno_e_posizioni_soci
20260804013749|v_soci_distingue_annullata_da_respinta
20260804050712|revoca_execute_funzioni_nuove
20260804050802|revoca_execute_da_public
20260804070358|cron_solleciti_quota
20260804091834|lancia_solleciti_a_vuoto_per_difetto
20260804095023|anagrafica_completa_socio
20260804101146|config_app_chiavi_pubbliche
20260804101753|newsletter_iscritti_e_campagne
20260804101916|newsletter_candidati_consenso
20260804102343|email_outbox_origini_newsletter
20260804105559|newsletter_gruppo_tutti_i_soci
20260804105628|newsletter_destinatari_dedup_per_indirizzo
20260804113805|passaggio_anno
20260804122404|numero_socio
20260804122900|canale_istituzionale
20260804123213|candidati_consenso_niente_fantasmi
20260804125013|compagine_sociale
20260804135618|audit_db_chiusura
20260805204641|museo_gg_pezzo_slug
20260805214829|notifiche_contenuti_pubblicati
20260805215610|push_invito_soft_prompt
20260806101915|museo_gg_raccolte
20260806105057|notifica_glossario_pubblicato
20260806110747|notifica_glossario_aggregata_v2
20260806111017|cron_guardiani_digest
20260806111137|punti_lemma_contributore_non_utente
20260806112432|glossario_annuncio_differito
20260806124219|fix_min_uuid_annuncio
20260806132826|contanti_non_ripetibile
20260806141548|libri_sociali_blocco1
20260806144009|config_applicata_a_mano_6ago
20260806145314|associati_identita_per_numero_socio
20260806150349|soci_senza_ruolo_controllo
20260807092039|guardiani_digest_a_ritmo_v3
20260807092226|notifiche_sorveglianza
20260807111009|plancia_avvisi
20260807111053|plancia_avvisi_fix_ambiguo
20260807112140|plancia_salute_canali
20260807112221|plancia_salute_fix_ambiguo
20260807112324|fix_format_lancia_digest
20260807112851|plancia_numeri_associazione
20260807113515|dizionario_slug_e_vista_v2
20260807120227|ponte_account_numero_socio
20260807123403|revoca_scrittura_anon
20260807123633|plancia_permessi_anon
20260807125118|revoca_lettura_anon_tabelle_sensibili
20260807125145|revoca_lettura_anon_elenco_permessi
20260807125629|plancia_integrita_letture_anon
20260807130539|revoca_lettura_anon_viste_e_tabelle_dietro_viste
20260808061517|inviti_tesseramento_a_chi_contribuisce
20260808061621|cron_inviti_tesseramento
20260808080157|plancia_misure_oneste_email_e_annunci
20260808080729|punti_lemma_anche_alla_nascita
20260808081740|punti_arretrati_al_primo_accesso
20260808085746|reazioni_fondamenta
20260808135305|correzioni_ai_lemmi
20260808152021|guardie_che_gridano_invece_di_tacere
20260808152558|traccia_modifiche_dopo_la_pubblicazione
20260808152712|vista_modifiche_recenti
20260808154833|commenti_ai_termini
20260808160740|ocr_trascrizioni
20260808194758|fix_audit_viste_invoker
20260808194939|audit_revoca_execute_anon
20260809003948|nome_una_fonte_sola
20260810043041|glossario_console_fondamenta
20260810043140|glossario_vocabolario_controllato
20260810043310|glossario_qualita_e_proposte_variante
20260810043414|glossario_candidate_anche_stessa_parlata
20260810043725|glossario_voce_e_punteggio
20260810043850|glossario_guardia_e_correzione_in_blocco
20260810043925|glossario_miei_lemmi
20260810045919|glossario_stato_ritirato_ammesso
20260810100156|glossario_definizione_o_esempio
20260810103453|guardiani_digest_solo_se_c_e_del_nuovo
20260810104223|guardiani_digest_destinatari_in_configurazione
20260810110417|glossario_chiudi_letture_anon
20260810111020|plancia_lemmi_portano_alla_console
20260810112532|glossario_stringi_permessi_funzioni_e_viste
20260810114656|sentinella_pagine_pubbliche
20260810114806|plancia_vede_le_pagine_rotte
20260810114843|sentinella_niente_anon
20260810120107|audit_indici_e_potatura_limiti
20260811090621|libro_adunanze_trigger_storico_e_divieto_cancellazione
20260811090738|libro_adunanze_ricerca_delibere_e_documenti_storici
20260811090851|assemblea_deleghe_presenze_quorum
20260811090953|prima_nota_e_raccolte_fondi
20260811091236|rendiconto_per_cassa_modello_d
20260811091359|convocazione_assemblea_termine_e_scadenze
20260811091725|comunicazione_stato_inviata_con_errori
20260811111902|quorum_meta_esatta_e_anzianita_tre_mesi
20260811112517|rimuovi_trigger_storico_duplicati
20260811112727|libri_sociali_permessi_di_tabella
20260811133837|rendiconto_include_donazioni_paypal
20260811140700|contanti_non_ripetibile_per_persona_non_per_email
20260813093330|ocr_trascrizioni_confermate_leggibili_in_pagina
20260813093957|ocr_policy_usa_funzione_definer
20260815150858|ocr_trascrizione_lettura_soci_storia
20260817152819|luoghi_interesse_toponimi_e_curatela
20260817180501|curatore_contenuti_e_registro_modifiche
20260817180604|registro_curatela_revoca_rpc_pubblico
20260817193941|ricerca_archivio
20260819025058|v_storia_pubblica_security_invoker
20260819025621|v_luoghi_mappa_pagina_security_invoker
20260819030209|convenzioni_viste_security_invoker
20260819032040|utente_grant_per_colonna_chiude_falla
20260819033011|utente_update_solo_mostra_livello
20260819033116|revoke_execute_from_public_otto_funzioni
20260819043355|tessera_verifica_nome_mascherato_e_validita
20260819094231|eventi_e_trascrizioni_security_invoker
20260819094416|articoli_viste_security_invoker
20260819113349|custodi_vocabolario_relazioni_security_invoker
20260823163109|contanti_cerca_socio_ricerca_direttivo
20260823215431|luoghi_georeferenziazione_e_toponomastica
20260823215806|luoghi_viste_pubbliche_gate_toponimo_validato
20260823215825|geocodifica_coda_un_secondo
20260824114856|soci_collegamento_manuale_domanda_account
20260824115245|luoghi_immagini
20260824123242|lezione_immagine_e_fonte
20260824131215|lezione_video_bunny
20260824151042|luoghi_gate_etimologia_toponimo_validato
20260824151116|luoghi_revoca_esecuzione_anon_funzioni
20260824161813|e_socio_in_regola_legge_fonte_autorevole
20260824215531|audit_2026_08_24_auth_rls_initplan
20260824215559|audit_2026_08_24_indici_fk_mancanti
20260824215624|audit_2026_08_24_indice_duplicato_e_funzioni_senza_guardia
20260824215722|audit_2026_08_24_correzione_guardia_cron
20260825035401|memoria_impero_fondi_e_persone
20260825115108|memoria_slug_e_viste_pubbliche
20260825115508|memoria_dati_fondo_male
20260825115854|memoria_lettura_bozza_per_slug
20260825151014|memoria_rimuovi_termine_redento
20260825152142|memoria_eventi_militari
20260825152944|memoria_fondo_pubblico_planimetria_geo
20260825153050|memoria_fondo_slug_breve
20260825153417|memoria_fondo_racconto_html
20260825153433|memoria_fondo_pubblico_racconto_html
20260825154918|memoria_evento_pubblico_e_arricchimento_persona
20260825155143|memoria_fondo_racconto_html_completo
20260825194034|memoria_fondo_pubblico_execute_anon
20260825201951|luogo_e_pubblico_esecuzione_anon
20260825202039|luoghi_lettura_anonima_ripristinata
20260825202042|memoria_racconto_correzione_storica_italofoni
20260825202142|luoghi_pagina_audio_solo_pubblicato
20260826005517|archivio_audio_percorso_invece_di_url
20260826005736|memoria_fondo_planimetria_riquadri_reali
20260826102315|sentinella_pagine_memoria
20260826140518|memoria_fondo_protocollo_anno_pratica
20260826154743|glossario_audio_attesa_lettura_curatori
20260826154957|coda_ascolto_permessi_stretti
20260826155033|coda_ascolto_revoca_execute_anon
20260826155611|coda_ascolto_promemoria_telegram
20260826155836|coda_ascolto_riconciliazione_storico
20260826164243|coda_ascolto_pubblicazione_reale
20260826170356|coda_ascolto_promemoria_revoca_pubblico
20260827144622|chiusura_cimiteri_sottotitolo_fondo
20260827211727|cruscotto_domande_bypass_aal2
20260827212244|cruscotto_funzioni_dato_non_disponibile
20260827212422|cruscotto_completezza_bypass_soci
20260827212638|cruscotto_segna_controllo
20260827212704|cruscotto_segna_controllo_categoria_valida
20260827213033|cruscotto_dove_rotte_vere
20260827213837|cruscotto_gate_service_role_digest
20260827214033|cruscotto_digest_promemoria_settimanale
20260827214105|cruscotto_digest_revoca_pubblico
20260828032206|battito_cruscotto_servizi_service_role
20260828032401|battito_sentinella_pagine
